y_m,chord_m,GJ_Nm2,theta_divergence_mode_norm
0,0.55,20082.4295742696,0
0.15,0.539,18901.4220558659,0.049996741482354
0.3,0.528,17767.648411821,0.102734907251985
0.45,0.517,16680.1446855151,0.158004819950872
0.6,0.506,15637.9469203288,0.215551964246376
0.75,0.495,14640.0911596425,0.275073197407122
0.9,0.484,13685.6134468366,0.336212789950818
1.05,0.473,12773.5498252916,0.398558300985198
1.2,0.462,11902.9363383879,0.461636295422225
1.35,0.451,11072.8090295059,0.524907913364545
1.5,0.44,10282.203942026,0.587764305766216
1.65,0.429,9530.15711932878,0.649521955113109
1.8,0.418,8815.70460479456,0.709417905548702
1.95,0.407,8137.88244180381,0.766604933838661
2.1,0.396,7495.72667373697,0.820146701142578
2.25,0.385,6888.27334397446,0.869012936156222
2.4,0.374,6314.55849589673,0.912074713338693
2.55,0.363,5773.6181728842,0.948099906348074
2.7,0.352,5264.48841831732,0.975748917404121
2.85,0.341,4786.20527557652,0.993570809313834
3,0.33,4337.80478804223,1
