y_m,chord_m,GJ_Nm2,theta_divergence_mode_norm
0,0.55,62760.1625924241,0
0.15,0.539,59069.3629506888,0.0499967414823548
0.3,0.528,55526.1752113709,0.102734907251987
0.45,0.517,52127.586886666,0.158004819950875
0.6,0.506,48870.5854887695,0.215551964246378
0.75,0.495,45752.1585298772,0.275073197407123
0.9,0.484,42769.2935221844,0.336212789950818
1.05,0.473,39918.9779778869,0.398558300985194
1.2,0.462,37198.1994091801,0.46163629542222
1.35,0.451,34603.9453282597,0.524907913364535
1.5,0.44,32133.2032473211,0.587764305766203
1.65,0.429,29782.96067856,0.649521955113094
1.8,0.418,27550.205134172,0.709417905548685
1.95,0.407,25431.9241263525,0.766604933838639
2.1,0.396,23425.1051672971,0.820146701142553
2.25,0.385,21526.7357692015,0.869012936156196
2.4,0.374,19733.8034442611,0.912074713338671
2.55,0.363,18043.2957046715,0.94809990634806
2.7,0.352,16452.2000626284,0.975748917404117
2.85,0.341,14957.5040303272,0.993570809313833
3,0.33,13556.1951199636,1
