y_m,chord_m,Lprime_Npm,shear_N,bendingMoment_Nm,torque_Nm,curvature_1pm,slope_rad,deflection_m,thetaAero_deg,thetaCoupling_deg,thetaTotal_deg,EI_Nm2,GJ_Nm2,Kbt_indicator_Nm2
0,0.55,191.787353562042,450,570.451223692329,20.5746022545907,0.0178179495882702,0,0,0,0,0,32015.5369654804,35865.1001097714,1963.13704692157
0.15,0.539,191.547469348634,421.249888281699,505.107482071202,19.0091487763054,0.0167626825957111,0.0025935474137986,0.000194516056034895,0.00488504340631311,-0.00813384716706552,-0.00324880376075241,30132.854880903,33755.9453025159,1847.69425576069
0.3,0.528,190.826007390157,392.57187752629,444.070849635603,17.4791471421985,0.0156774408519966,0.00502655667237667,0.00076602386249804,0.009672046831904,-0.0157642396447882,-0.00609219281288422,28325.4680293722,31731.1452107187,1736.86843734057
0.45,0.517,189.617470804088,364.038616661722,387.325062571502,15.9882344098907,0.0145655609341403,0.00729478180633694,0.00169012424840156,0.0143455255590873,-0.0228778595427676,-0.00853233398368022,26591.8397734788,29788.9783095743,1630.56536772771
0.6,0.506,187.912462138301,335.723871691042,334.842875945045,14.5398648730329,0.0134310892054843,0.00939453056680879,0.00294182267638749,0.0188891147973413,-0.0294631252433565,-0.0105740104460152,24930.4334758136,27927.7230742776,1528.69082298864
0.75,0.495,185.697306589746,307.703139036439,286.585850140484,13.1373358285037,0.0122788937590023,0.0113227792891453,0.00449562091558405,0.0232855288094572,-0.0355105516253356,-0.0122250228158785,23339.7124989677,26145.6579800233,1431.15057918987
0.9,0.484,182.953474898844,280.054330424795,242.504039930891,11.7838134639064,0.0111147896954757,0.0130773055482311,0.00632562727838728,0.0275165314807831,-0.0410131660916679,-0.0134966346108847,21818.1402055319,24441.0615020061,1337.85041239792
1.05,0.473,179.656745866962,252.858563867359,202.53557285898,10.4823600440606,0.00994567781642734,0.0146568406116239,0.00840568824037641,0.031562924153997,-0.0459669866959812,-0.0144040625419842,20364.179958097,22812.2121154207,1248.69609867929
1.2,0.462,175.776013006663,226.201106951837,166.60609754754,9.23596385302945,0.00877969574674751,0.016061243628862,0.0107095445584128,0.035404559087371,-0.0503715684503419,-0.0149670093629709,18976.295119254,21257.3882954619,1163.59341410051
1.35,0.451,171.271583213911,200.172537235294,134.628074233505,8.0475738377403,0.00762637867701492,0.0172916992106442,0.0132110152713758,0.0390203905678483,-0.0542306230052455,-0.0152102324373971,17652.9490515937,19774.8685173244,1082.4481347281
1.5,0.44,166.092720309316,174.870214471052,106.499867855529,6.92014173049851,0.00649682384775375,0.0183509394000018,0.0158842131671743,0.042388581127656,-0.0575527148504916,-0.0151641337228356,16392.605117707,18362.9312562029,1005.16603662855
1.65,0.429,160.174018860633,150.400209033306,82.1045860927022,5.85667584779368,0.0054038477735538,0.0192434897715999,0.0187037953550444,0.0454866884741606,-0.0603520332166353,-0.0148653447424747,15193.7266801849,17019.8549872922,931.652895868404
1.8,0.418,153.429882849634,126.879916405036,61.3085766848265,4.86031325937599,0.00436211661284672,0.0199759371005799,0.0216452523704579,0.0482919713631402,-0.0626492316615216,-0.0143572602983814,14054.7771016182,15743.918185787,861.81448851416
1.95,0.407,145.745770571933,104.441742398419,43.9594522745674,3.93442161197156,0.0033882154873222,0.0205572120080926,0.0246852385536083,0.0507818728206943,-0.0644723146755164,-0.013690441854822,12974.2197445977,14533.399326882,795.556590632338
2.1,0.396,136.963565896297,83.2385421633013,29.8834309324384,3.08275085658874,0.002500597129193,0.0209988729543312,0.0278019449257901,0.052934772788848,-0.0658575285723708,-0.0129227557835228,11950.5179717144,13386.5768857719,732.784978289452
2.25,0.385,126.855410533095,63.4521189310969,18.8816313503586,2.30967406796242,0.00171930422455178,0.0213153655558621,0.0309755128140546,0.0547311617786574,-0.0668501750612823,-0.0121190132826249,10982.1351455592,12301.7293376516,673.405427552019
2.4,0.374,115.072412137225,45.3075322308229,10.7246575132146,1.6206009540032,0.00106527147993281,0.0215242087336984,0.0341884808857716,0.0561555009563946,-0.0675051954182802,-0.0113496944618856,10067.534628723,11277.1351577156,617.323714486554
2.55,0.363,101.030257565281,29.0998320031349,5.14410519566774,1.0227679617368,0.000558827238195029,0.021646016137558,0.0374262477511159,0.0571992783199737,-0.0678872381101951,-0.0106879597902214,9205.17978379656,10311.0728211588,564.445615159571
2.7,0.352,83.5981692826047,15.2526999895434,1.81766529621686,0.527013918609246,0.000216555422541154,0.0217041698371132,0.0406775116992162,0.0578663974858641,-0.0680696358601665,-0.0102032383743024,8393.53397337087,9401.8208031759,514.676905637586
2.85,0.341,59.8855819556539,4.49141864667404,0.336856398500553,0.153157375851585,4.41428024126346e-05,0.0217237222039848,0.0439346036022986,0.0581842709108482,-0.0681309619834396,-0.00994669107259136,7631.06056003679,8547.65757896159,467.923361987114
3,0.33,0,0,0,0,0,0.0217270329141657,0.0471934102361599,0.058261268069045,-0.0681413461443584,-0.0098800780753133,6916.22290638521,7746.86162371061,424.090760274671
