y_m,AVL_LiftPerSpan_Npm,Shear_N,BendingMoment_Nm,Curvature_1pm,Slope_rad,Deflection_m,ThetaCoupling_rad,ThetaTotal_rad
0,411.07325,885.842930337969,1123.96840846923,0.0645137521897302,0,0,0,0
0.03,403.00422826087,873.631768164056,1097.5762879917,0.0629988922457859,0.00191268966653274,2.86903449979911e-05,-0.000104697781949505,-0.000104697781949505
0.06,399.236923076923,861.598150893989,1071.54783920583,0.0615049063986733,0.00378024664619963,0.000114084389688977,-0.000206925067879212,-0.000206925067879212
0.09,398.106153846154,849.638004740143,1045.87929687132,0.0600315785304144,0.00560329392013594,0.00025483749818401,-0.000306715958848067,-0.000306715958848067
0.12,396.954505617978,837.712094848181,1020.56904537749,0.0585788159078811,0.00738244983671038,0.000449623654536705,-0.000404104302324273,-0.000404104302324273
0.15,395.715741573034,825.822041140315,995.616033337667,0.0571465581833804,0.0091183304480793,0.00069713535880855,-0.000499123820084796,-0.000499123820084796
0.18,394.47697752809,813.969150353799,971.019165465255,0.0557347424894451,0.0108115499581717,0.000996083564902315,-0.000591808132737387,-0.000591808132737387
0.21,393.238213483146,802.15342248863,946.777326872619,0.0543433048335427,0.0124627206680165,0.00134519762429514,-0.000682190756727886,-0.000682190756727886
0.24,391.869144508671,790.376812118753,922.889373353508,0.0529721795403055,0.0140724529336242,0.00174322522831975,-0.00077030510203472,-0.00077030510203472
0.27,390.42463583815,778.64240541355,899.354085090524,0.0516212965944228,0.0156413550756451,0.00218893234845879,-0.000856184467223734,-0.000856184467223734
0.3,388.98012716763,766.951333968464,876.170178999794,0.0502905823492027,0.0171700332597995,0.00268110317349046,-0.000939862032903111,-0.000939862032903111
0.33,387.53561849711,755.303597783493,853.336355023514,0.0489799621836806,0.0186590914277928,0.00321854004380434,-0.00102137085794178,-0.00102137085794178
0.36,386.08784375,743.699245849786,830.851312369015,0.0476893614347116,0.0201091312820687,0.00380006338445226,-0.00110074387863482,-0.00110074387863482
0.39,384.48003125,732.140727724786,808.713712765396,0.0464187032879685,0.0215207522529089,0.00442451163747693,-0.00117801390690255,-0.00117801390690255
0.42,382.87221875,720.630443974786,786.922145189903,0.0451679067532991,0.0228945514035279,0.00509074119232348,-0.00125321362509555,-0.00125321362509555
0.45,381.26440625,709.168394599786,765.475162611284,0.043936888773729,0.0242311233364333,0.0057976263134229,-0.00132637558086897,-0.00132637558086897
0.48,379.65659375,697.754579599786,744.371317998291,0.0427255662922835,0.0255310601624235,0.00654405906590575,-0.00139753218548554,-0.00139753218548554
0.51,378.04878125,686.388998974786,723.609164319672,0.0415338562519882,0.0267949515005876,0.00732894924085091,-0.00146671571381549,-0.00146671571381549
0.54,376.35462152231,675.072947933201,703.187235116052,0.0403616744807293,0.0280233844615783,0.0081512242802834,-0.00153395830342101,-0.00153395830342101
0.57,374.564385301837,663.809162830839,683.104003454592,0.0392089333353256,0.0292169435788191,0.00900982920088936,-0.00159929195079061,-0.00159929195079061
0.6,372.774149081365,652.599084815091,663.357879739903,0.0380755415758791,0.0303762107024872,0.00990372651510896,-0.00166274850553587,-0.00166274850553587
0.63,370.983912860892,641.442713885957,643.947252759387,0.0369614067217031,0.0315017649269509,0.0108318961495505,-0.00172435966641952,-0.00172435966641952
0.66,369.19367664042,630.340050043438,624.870511300446,0.0358664362921109,0.0325941825721582,0.0117933353620372,-0.00178415698033665,-0.00178415698033665
0.69,367.403440419948,619.291093287532,606.126044150481,0.0347905378064156,0.0336540371836361,0.0127870586583741,-0.00184217184231467,-0.00184217184231467
0.72,365.595379113019,608.296110994538,587.71223608625,0.0337336185537269,0.0346818995290382,0.0138120977090642,-0.00189843549532436,-0.00189843549532436
