y_m,AVL_LiftPerSpan_Npm,Shear_N,BendingMoment_Nm,Curvature_1pm,Slope_rad,Deflection_m,ThetaCoupling_rad,ThetaTotal_rad
0,411.07325,885.842930337969,1123.96840846923,0.0462770371652534,0,0,0,0
0.03,403.00422826087,873.631768164056,1097.5762879917,0.0451903970684273,0.00137201151350521,2.05801727025782e-05,-0.000274114519673357,-0.000274114519673357
0.06,399.236923076923,861.598150893989,1071.54783920583,0.0441187303892382,0.00271164842537019,8.18350717857092e-05,-0.00054176090967661,-0.00054176090967661
0.09,398.106153846154,849.638004740143,1045.87929687132,0.0430618821018296,0.00401935761273621,0.000182800162357305,-0.000803028451704355,-0.000803028451704355
0.12,396.954505617978,837.712094848181,1020.56904537749,0.0420197856868273,0.00529558262956606,0.000322524265991839,-0.00105800576351254,-0.00105800576351254
0.15,395.715741573034,825.822041140315,995.616033337667,0.0409923978555938,0.00654076538270238,0.000500069486175866,-0.00130678113377857,-0.00130678113377857
0.18,394.47697752809,813.969150353799,971.019165465255,0.039979673512006,0.00775534645321638,0.000714511163714647,-0.00154944258630364,-0.00154944258630364
0.21,393.238213483146,802.15342248863,946.777326872619,0.0389815667529083,0.00893976505719009,0.000964937836370744,-0.00178607787217743,-0.00178607787217743
0.24,391.869144508671,790.376812118753,922.889373353508,0.0379980304680128,0.0100944590155039,0.00125045119746115,-0.00201677446374194,-0.00201677446374194
0.27,390.42463583815,778.64240541355,899.354085090524,0.0370290144339016,0.0112198646890326,0.0015701660530292,-0.00224161954164429,-0.00224161954164429
0.3,388.98012716763,766.951333968464,876.170178999794,0.0360744658222928,0.0123164168928755,0.00192321027675782,-0.00246069997770072,-0.00246069997770072
0.33,387.53561849711,755.303597783493,853.336355023514,0.0351343311060384,0.0133845488468005,0.00230872476285297,-0.00267410232499581,-0.00267410232499581
0.36,386.08784375,743.699245849786,830.851312369015,0.0342085567277339,0.0144246921643071,0.00272586337801958,-0.00288191281569742,-0.00288191281569742
0.39,384.48003125,732.140727724786,808.713712765396,0.0332970875868873,0.0154372768290264,0.00317379291291958,-0.00308421735634156,-0.00308421735634156
0.42,382.87221875,720.630443974786,786.922145189903,0.032399865587602,0.0164227311266438,0.00365169303225463,-0.00328110151423124,-0.00328110151423124
0.45,381.26440625,709.168394599786,765.475162611284,0.0315168311514073,0.0173814815777289,0.00415875622282022,-0.00347265050401661,-0.00347265050401661
0.48,379.65659375,697.754579599786,744.371317998291,0.0306479246998324,0.0183139529154975,0.00469418774021862,-0.00365894918325188,-0.00365894918325188
0.51,378.04878125,686.388998974786,723.609164319672,0.0297930866544067,0.0192205680858111,0.00525720555523825,-0.00384008205239536,-0.00384008205239536
0.54,376.35462152231,675.072947933201,703.187235116052,0.028952256636747,0.0201017482351784,0.00584704030005309,-0.00401613325241221,-0.00401613325241221
0.57,374.564385301837,663.809162830839,683.104003454592,0.0281253717786027,0.0209579126614086,0.00646293521350189,-0.00418718655491543,-0.00418718655491543
0.6,372.774149081365,652.599084815091,663.357879739903,0.0273123666317242,0.0217894787375635,0.00710414608448648,-0.00435332534697229,-0.00435332534697229
0.63,370.983912860892,641.442713885957,643.947252759387,0.0265131748578187,0.0225968618599067,0.00776994119344853,-0.00451463262070504,-0.00451463262070504
0.66,369.19367664042,630.340050043438,624.870511300446,0.0257277301185936,0.0233804754345529,0.00845960125286542,-0.00467119097062362,-0.00467119097062362
0.69,367.403440419948,619.291093287532,606.126044150481,0.0249559660757562,0.0241407308774681,0.00917241934754574,-0.00482308259362564,-0.00482308259362564
