y_m,AVL_LiftPerSpan_Npm,Shear_N,BendingMoment_Nm,Curvature_1pm,Slope_rad,Deflection_m,ThetaCoupling_rad,ThetaTotal_rad
0,411.07325,885.842930337969,1123.96840846923,0.191267917449961,0,0,0,0
0.03,403.00422826087,873.631768164056,1097.5762879917,0.186776718335476,0.00567066953678156,8.50600430517234e-05,-0.000267682249638396,-0.000267682249638396
0.06,399.236923076923,861.598150893989,1071.54783920583,0.182347405948924,0.0112075314010476,0.00033823305711916,-0.00052904814834759,-0.00052904814834759
0.09,398.106153846154,849.638004740143,1045.87929687132,0.177979339551947,0.0166124325835606,0.000755532516888283,-0.000784184882770923,-0.000784184882770923
0.12,396.954505617978,837.712094848181,1020.56904537749,0.173672244212895,0.0218872063400333,0.00133302710074219,-0.00103317899119283,-0.00103317899119283
0.15,395.715741573034,825.822041140315,995.616033337667,0.169425941015227,0.0270336791184551,0.00206684038261952,-0.00127611669054122,-0.00127611669054122
0.18,394.47697752809,813.969150353799,971.019165465255,0.165240243571866,0.0320536718872615,0.00295315064770526,-0.00151308393908331,-0.00151308393908331
0.21,393.238213483146,802.15342248863,946.777326872619,0.161114962160188,0.0369489999732423,0.00398819072561282,-0.00174416642877412,-0.00174416642877412
0.24,391.869144508671,790.376812118753,922.889373353508,0.157049902068361,0.0417214729366705,0.00516824781926151,-0.00196944957936201,-0.00196944957936201
0.27,390.42463583815,778.64240541355,899.354085090524,0.153044855717658,0.0463728943034608,0.00648966332786348,-0.00218901852574523,-0.00218901852574523
0.3,388.98012716763,766.951333968464,876.170178999794,0.149099604763168,0.0509050612106732,0.00794883266057549,-0.00240295810123808,-0.00240295810123808
0.33,387.53561849711,755.303597783493,853.336355023514,0.145213927971496,0.0553197642016932,0.00954220504176099,-0.00261135282790245,-0.00261135282790245
0.36,386.08784375,743.699245849786,830.851312369015,0.14138760398419,0.0596187871810284,0.0112662833125018,-0.002814286914414,-0.002814286914414
0.39,384.48003125,732.140727724786,808.713712765396,0.137620405065057,0.0638039073167672,0.0131176237299687,-0.00301184425145772,-0.00301184425145772
0.42,382.87221875,720.630443974786,786.922145189903,0.133912091097575,0.0678768947592066,0.0150928357611084,-0.00320410839844589,-0.00320410839844589
0.45,381.26440625,709.168394599786,765.475162611284,0.130262415837587,0.0718395123632341,0.017188581867945,-0.00339116257041317,-0.00339116257041317
0.48,379.65659375,697.754579599786,744.371317998291,0.126671133040936,0.0756935155964119,0.0194015772873397,-0.00357308963367777,-0.00357308963367777
0.51,378.04878125,686.388998974786,723.609164319672,0.123137996463465,0.0794406525389779,0.0217285898093705,-0.00374997210584146,-0.00374997210584146
0.54,376.35462152231,675.072947933201,703.187235116052,0.119662756554892,0.0830826638342533,0.024166439554969,-0.00392189215344858,-0.00392189215344858
0.57,374.564385301837,663.809162830839,683.104003454592,0.116245153474051,0.0866212824846874,0.0267119987497531,-0.00408893158235845,-0.00408893158235845
0.6,372.774149081365,652.599084815091,663.357879739903,0.112884916716363,0.0900582335375436,0.0293621914900865,-0.00425117182290821,-0.00425117182290821
0.63,370.983912860892,641.442713885957,643.947252759387,0.109581772098609,0.0933952338697682,0.0321139935011962,-0.00440869391975763,-0.00440869391975763
0.66,369.19367664042,630.340050043438,624.870511300446,0.106335445437566,0.0966339921328109,0.0349644318912349,-0.0045615785292844,-0.0045615785292844
0.69,367.403440419948,619.291093287532,606.126044150481,0.103145662550016,0.0997762087526246,0.0379105849045164,-0.00470990591958411,-0.00470990591958411
0.72,365.595379113019,608.296110994538,587.71223608625,0.100012148570236,0.102823575919428,0.0409495816745972,-0.00485375596998701,-0.00485375596998701
0.75,363.660615164521,597.357271080375,569.627435355127,0.0969346224162311,0.105777777484225,0.044078601975652,-0.00499320816617317,-0.00499320816617317
0.78,361.725851216023,586.476474084667,551.869929177651,0.0939127926209468,0.108640488709783,0.0472948759685622,-0.00512834158841757,-0.00512834158841757
0.81,359.791087267525,575.653720007413,534.43797626627,0.0909463628660513,0.111413376042088,0.0505956839398402,-0.00525923490080172,-0.00525923490080172
0.84,357.856323319027,564.889008848615,517.329835333429,0.0880350368332126,0.114098097037577,0.0539783560360352,-0.00538596634777857,-0.00538596634777857
0.87,355.921559370529,554.182340608272,500.543765091576,0.0851785182040985,0.116696300363137,0.0574402719970459,-0.00550861375417258,-0.00550861375417258
0.9,353.986795422031,543.533715286383,484.078024253156,0.0823765106603771,0.119209625796104,0.0609788608894345,-0.00562725452517965,-0.00562725452517965
0.93,352.033252904379,532.943414561487,467.930867305438,0.0796287171647095,0.12163970421348,0.0645916008395783,-0.00574196564585803,-0.00574196564585803
0.96,349.957649687221,522.413551022613,452.100512821677,0.0769348345681982,0.123988157489474,0.0682760187651226,-0.00585282367629185,-0.00585282367629185
0.99,347.882046470063,511.945955580254,436.585120222634,0.0742945496558499,0.126256598252834,0.0720296901012572,-0.00595990474013611,-0.00595990474013611
1.02,345.806443252904,501.540628234409,421.382821465414,0.0717075445391263,0.128446629665759,0.0758502385200361,-0.00606328451418007,-0.00606328451418007
1.05,343.730840035746,491.197568985079,406.491748507121,0.0691735013294892,0.130559845353788,0.0797353356453293,-0.00616303822503797,-0.00616303822503797
1.08,341.655236818588,480.916777832264,391.910033304861,0.0666921021384006,0.132597829405807,0.0836827007667232,-0.00625924064914909,-0.00625924064914909
1.11,339.57963360143,470.698254775964,377.635807815738,0.0642630290773222,0.134562156374043,0.087690100553421,-0.0063519661127777,-0.0063519661127777
1.14,337.504030384272,460.541999816179,363.667203996856,0.0618859642577158,0.136454391274068,0.0917553487681426,-0.00644128849201312,-0.00644128849201312
1.17,335.335978494624,450.449399682995,350.002333004368,0.0595605862513045,0.138276089531703,0.0958763059802292,-0.00652728121026327,-0.00652728121026327
1.2,333.123075268817,440.422513876544,336.639254300975,0.0572865648330345,0.140028796797968,0.100050879275174,-0.00661001722951959,-0.00661001722951959
1.23,330.910172043011,430.462015166866,323.575986365324,0.055063562803515,0.141714048712517,0.104277021957832,-0.00668956903918997,-0.00668956903918997
1.26,328.697268817204,420.567903553963,310.810537584511,0.0528912412460564,0.14333337077326,0.108552733250118,-0.00676600864994446,-0.00676600864994446
1.29,326.484365591398,410.740179037834,298.340916345634,0.050769261243969,0.144888278310611,0.112876057986376,-0.00683940759249929,-0.00683940759249929
1.32,324.271462365591,400.978841618479,286.16513103579,0.0486972838805629,0.146380276487479,0.117245086308348,-0.00690983691761688,-0.00690983691761688
1.35,322.058559139785,391.283891295898,274.281190042074,0.0466749702391484,0.147810860299274,0.121657953360149,-0.00697736719610585,-0.00697736719610585
1.38,319.845655913979,381.655328070092,262.687101751584,0.0447019814030359,0.149181514573907,0.126112838983247,-0.00704206851882098,-0.00704206851882098
1.41,317.496478334749,372.095196056361,251.380843889687,0.0427779732377686,0.150493713893519,0.130607967410258,-0.00710401049296872,-0.00710401049296872
1.44,315.1359855565,362.605709097992,240.360330312372,0.0409025907401121,0.151748922353187,0.135141606953959,-0.00716326223071676,-0.00716326223071676
1.47,312.77549277825,353.187036922971,229.623439122058,0.0390754728225763,0.152948593306628,0.139712069688856,-0.00721989233719004,-0.00721989233719004
1.5,310.415,343.839179531297,219.168045875244,0.0372962579644273,0.154094169268433,0.144317711127482,-0.00727396890585598,-0.00727396890585598
1.53,308.05450722175,334.562136922971,208.99202612843,0.0355645846449311,0.155187081907573,0.148956929895122,-0.00732555951821767,-0.00732555951821767
1.56,305.6940144435,325.355909097992,199.093255438115,0.0338800913433536,0.156228752047397,0.153628167404446,-0.00737473124381386,-0.00737473124381386
1.59,303.333521665251,316.220496056361,189.4696093608,0.0322424165389608,0.157220589665632,0.158329907530142,-0.00742155064021899,-0.00742155064021899
1.62,300.961076989247,307.156077076544,180.118960763806,0.030651198253396,0.158163993887517,0.163060676283439,-0.00746608375271913,-0.00746608375271913
1.65,298.444689892473,298.164990573318,171.039144749058,0.0291060680816905,0.159060352882544,0.16781904148499,-0.0075083961094375,-0.0075083961094375
1.68,295.928302795699,289.249395682995,162.227928955214,0.0276066461385185,0.159911043595847,0.172603612432166,-0.00754855270865501,-0.00754855270865501
