y_m,eta,chord_m,box_width_m,box_height_m,EI_Nm2,GJ_Nm2,Kbt_indicator_Nm2,mass_per_length_kgpm
0,0,0.55,0.2585,0.066,47184.5054011011,35865.1001097714,1119.63975364559,1.00595
0.15,0.05,0.539,0.25333,0.06468,44409.8081319571,33755.9453025159,1053.79904300431,0.985831
0.3,0.1,0.528,0.24816,0.06336,41746.0809937902,31731.1452107187,990.591539367185,0.965712
0.45,0.15,0.517,0.24299,0.06204,39191.0592900498,29788.9783095743,929.963503815746,0.945593
0.6,0.2,0.506,0.23782,0.06072,36742.4783241854,27927.7230742776,871.861197431547,0.925474
0.75,0.25,0.495,0.23265,0.0594,34398.0733996465,26145.6579800233,816.230881296136,0.905355
0.9,0.3,0.484,0.22748,0.05808,32155.5798198824,24441.0615020061,763.018816491059,0.885236
1.05,0.35,0.473,0.22231,0.05676,30012.7328883427,22812.2121154207,712.171264097866,0.865117
1.2,0.4,0.462,0.21714,0.05544,27967.2679084767,21257.3882954619,663.634485198105,0.844998
1.35,0.45,0.451,0.21197,0.05412,26016.9201837339,19774.8685173244,617.354740873324,0.824879
1.5,0.5,0.44,0.2068,0.0528,24159.4250175638,18362.9312562029,573.278292205071,0.80476
1.65,0.55,0.429,0.20163,0.05148,22392.5177134158,17019.8549872922,531.351400274894,0.784641
1.8,0.6,0.418,0.19646,0.05016,20713.9335747394,15743.918185787,491.52032616434,0.764522
1.95,0.65,0.407,0.19129,0.04884,19121.407904984,14533.399326882,453.731330954959,0.744403
2.1,0.7,0.396,0.18612,0.04752,17612.676007599,13386.5768857719,417.930675728298,0.724284
2.25,0.75,0.385,0.18095,0.0462,16185.473186034,12301.7293376516,384.064621565906,0.704165
2.4,0.8,0.374,0.17578,0.04488,14837.5347437383,11277.1351577156,352.07942954933,0.684046
2.55,0.85,0.363,0.17061,0.04356,13566.5959841614,10311.0728211588,321.921360760119,0.663927
2.7,0.9,0.352,0.16544,0.04224,12370.3922107527,9401.8208031759,293.53667627982,0.643808
2.85,0.95,0.341,0.16027,0.04092,11246.6587269617,8547.65757896159,266.871637189982,0.623689
3,1,0.33,0.1551,0.0396,10193.1308362379,7746.86162371061,241.872504572154,0.60357
