y_m,eta,chord_m,box_width_m,box_height_m,EI_Nm2,GJ_Nm2,Kbt_indicator_Nm2,mass_per_length_kgpm
0,0,0.55,0.2585,0.066,32015.5369654804,35865.1001097714,1963.13704692157,1.00595
0.15,0.05,0.539,0.25333,0.06468,30132.854880903,33755.9453025159,1847.69425576069,0.985831
0.3,0.1,0.528,0.24816,0.06336,28325.4680293722,31731.1452107187,1736.86843734057,0.965712
0.45,0.15,0.517,0.24299,0.06204,26591.8397734788,29788.9783095743,1630.56536772771,0.945593
0.6,0.2,0.506,0.23782,0.06072,24930.4334758136,27927.7230742776,1528.69082298864,0.925474
0.75,0.25,0.495,0.23265,0.0594,23339.7124989677,26145.6579800233,1431.15057918987,0.905355
0.9,0.3,0.484,0.22748,0.05808,21818.1402055319,24441.0615020061,1337.85041239792,0.885236
1.05,0.35,0.473,0.22231,0.05676,20364.179958097,22812.2121154207,1248.69609867929,0.865117
1.2,0.4,0.462,0.21714,0.05544,18976.295119254,21257.3882954619,1163.59341410051,0.844998
1.35,0.45,0.451,0.21197,0.05412,17652.9490515937,19774.8685173244,1082.4481347281,0.824879
1.5,0.5,0.44,0.2068,0.0528,16392.605117707,18362.9312562029,1005.16603662855,0.80476
1.65,0.55,0.429,0.20163,0.05148,15193.7266801849,17019.8549872922,931.652895868404,0.784641
1.8,0.6,0.418,0.19646,0.05016,14054.7771016182,15743.918185787,861.81448851416,0.764522
1.95,0.65,0.407,0.19129,0.04884,12974.2197445977,14533.399326882,795.556590632338,0.744403
2.1,0.7,0.396,0.18612,0.04752,11950.5179717144,13386.5768857719,732.784978289452,0.724284
2.25,0.75,0.385,0.18095,0.0462,10982.1351455592,12301.7293376516,673.405427552019,0.704165
2.4,0.8,0.374,0.17578,0.04488,10067.534628723,11277.1351577156,617.323714486554,0.684046
2.55,0.85,0.363,0.17061,0.04356,9205.17978379656,10311.0728211588,564.445615159571,0.663927
2.7,0.9,0.352,0.16544,0.04224,8393.53397337087,9401.8208031759,514.676905637586,0.643808
2.85,0.95,0.341,0.16027,0.04092,7631.06056003679,8547.65757896159,467.923361987114,0.623689
3,1,0.33,0.1551,0.0396,6916.22290638521,7746.86162371061,424.090760274671,0.60357
