y_m,eta,chord_m,box_width_m,box_height_m,EI_Nm2,GJ_Nm2,Kbt_indicator_Nm2,mass_per_length_kgpm
0,0,0.55,0.2585,0.066,70135.5477078442,20082.4295742696,6151.54084910107,1.00595
0.15,0.05,0.539,0.25333,0.06468,66011.2083502394,18901.4220558659,5789.79786907123,0.985831
0.3,0.1,0.528,0.24816,0.06336,62051.8161686012,17767.648411821,5442.52229286247,0.965712
0.45,0.15,0.517,0.24299,0.06204,58254.0048940323,16680.1446855151,5109.41886733558,0.945593
0.6,0.2,0.506,0.23782,0.06072,54614.4082576354,15637.9469203288,4790.19233935136,0.925474
0.75,0.25,0.495,0.23265,0.0594,51129.6599905131,14640.0911596425,4484.5474557706,0.905355
0.9,0.3,0.484,0.22748,0.05808,47796.3938237683,13685.6134468366,4192.18896345411,0.885236
1.05,0.35,0.473,0.22231,0.05676,44611.2434885037,12773.5498252916,3912.82160926266,0.865117
1.2,0.4,0.462,0.21714,0.05544,41570.8427158219,11902.9363383879,3646.15014005706,0.844998
1.35,0.45,0.451,0.21197,0.05412,38671.8252368257,11072.8090295059,3391.87930269809,0.824879
1.5,0.5,0.44,0.2068,0.0528,35910.8247826179,10282.203942026,3149.71384404657,0.80476
1.65,0.55,0.429,0.20163,0.05148,33284.4750843011,9530.15711932878,2919.35851096327,0.784641
1.8,0.6,0.418,0.19646,0.05016,30789.4098729781,8815.70460479456,2700.51805030899,0.764522
1.95,0.65,0.407,0.19129,0.04884,28422.2628797516,8137.88244180381,2492.89720894453,0.744403
2.1,0.7,0.396,0.18612,0.04752,26179.6678357243,7495.72667373697,2296.20073373069,0.724284
2.25,0.75,0.385,0.18095,0.0462,24058.2584719989,6888.27334397446,2110.13337152824,0.704165
2.4,0.8,0.374,0.17578,0.04488,22054.6685196782,6314.55849589673,1934.399869198,0.684046
2.55,0.85,0.363,0.17061,0.04356,20165.5317098649,5773.6181728842,1768.70497360075,0.663927
2.7,0.9,0.352,0.16544,0.04224,18387.4817736617,5264.48841831732,1612.7534315973,0.643808
2.85,0.95,0.341,0.16027,0.04092,16717.1524421714,4786.20527557652,1466.24999004842,0.623689
3,1,0.33,0.1551,0.0396,15151.1774464966,4337.80478804223,1328.89939581492,0.60357
